                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5211,                 6.9251,                 2.2739,                0.00011,                0.04545,                  9e-05,                  2e-05,                 3.2396,                 4.4274,                 2.7098,               0.067405,              0.0006652,              0.0006652
                      2,                 2.3118,                 4.7223,                 2.0681,                0.00153,                0.18283,                 0.0063,                0.00229,                 3.0887,                 4.2561,                 2.5675,               0.034739,              0.0013318,              0.0013318
                      3,                 2.2167,                  4.019,                 1.9771,                 0.1734,                0.04545,                0.01422,                0.00501,                 2.9244,                 3.9245,                 2.3974,              0.0020717,              0.0019983,              0.0019983
                      4,                 2.1172,                 3.5796,                 1.8665,                0.02107,                0.15849,                 0.0218,                0.00458,                 2.8026,                 3.7502,                 2.3066,              0.0019995,              0.0019995,              0.0019995
                      5,                 2.0773,                   3.29,                  1.796,                0.24458,                0.10438,                0.07963,                0.01829,                 2.6429,                 3.4004,                 2.2529,              0.0019991,              0.0019991,              0.0019991
                      6,                 2.0526,                  3.106,                 1.7653,                0.17551,                0.17957,                0.11569,                0.03047,                 2.5665,                 3.2738,                 2.0501,              0.0019986,              0.0019986,              0.0019986
                      7,                 1.9898,                 2.8807,                 1.6916,                0.07274,                0.10438,                  0.145,                0.04684,                 2.6322,                 3.3761,                 2.1986,               0.001998,               0.001998,               0.001998
                      8,                 1.9347,                 2.8077,                  1.685,                0.18121,                 0.2955,                  0.141,                0.04129,                  2.647,                 3.2076,                 2.1338,              0.0019973,              0.0019973,              0.0019973
                      9,                 1.9293,                 2.6865,                 1.6526,                 0.4915,                0.22415,                0.28876,                0.13096,                 2.5652,                 3.1004,                 1.9609,              0.0019965,              0.0019965,              0.0019965
                     10,                  1.905,                 2.5728,                 1.6582,                0.18645,                0.36443,                0.22929,                0.06233,                 2.6137,                 3.0044,                  2.212,              0.0019956,              0.0019956,              0.0019956
                     11,                 1.8852,                 2.4902,                 1.6372,                0.27751,                0.36412,                0.21307,                0.07092,                 2.4901,                 3.1092,                 2.0573,              0.0019946,              0.0019946,              0.0019946
                     12,                 1.8707,                  2.441,                 1.6174,                0.24824,                0.30135,                0.22798,                0.11675,                 2.5688,                 3.3623,                  2.044,              0.0019934,              0.0019934,              0.0019934
                     13,                 1.8886,                 2.4126,                 1.5667,                0.35562,                0.32336,                0.36636,                0.18152,                 2.5818,                 3.0726,                 1.9828,              0.0019922,              0.0019922,              0.0019922
                     14,                 1.8408,                 2.3096,                 1.5941,                0.34781,                0.37278,                0.39248,                0.13674,                 2.5363,                 2.6868,                 1.9681,              0.0019908,              0.0019908,              0.0019908
                     15,                 1.7979,                 2.2341,                 1.5802,                0.22292,                0.36395,                0.32934,                0.15128,                 2.3476,                 2.8996,                   1.92,              0.0019894,              0.0019894,              0.0019894
                     16,                 1.7972,                 2.1873,                 1.5776,                0.41887,                0.33269,                0.38228,                0.15718,                 2.5477,                 2.9584,                 2.0178,              0.0019878,              0.0019878,              0.0019878
                     17,                 1.8031,                 2.1912,                 1.5844,                0.19519,                0.22968,                0.18928,                0.07676,                  2.586,                 2.7977,                 2.1723,              0.0019861,              0.0019861,              0.0019861
                     18,                 1.7259,                 2.0861,                 1.5352,                0.23465,                0.19216,                0.18438,                0.07477,                 2.4337,                 2.9388,                 2.0151,              0.0019844,              0.0019844,              0.0019844
                     19,                 1.7374,                 2.0431,                  1.545,                 0.3678,                0.39442,                0.30057,                 0.1018,                 2.4545,                 2.9024,                 1.9463,              0.0019825,              0.0019825,              0.0019825
                     20,                 1.7319,                 2.0271,                 1.5186,                0.39159,                0.13593,                0.19653,                0.05933,                 2.5936,                 3.0277,                 2.0149,              0.0019805,              0.0019805,              0.0019805
                     21,                 1.7318,                 1.9116,                 1.4999,                0.17433,                0.17364,                0.16072,                0.05109,                 2.6035,                 3.0436,                 2.0697,              0.0019784,              0.0019784,              0.0019784
                     22,                 1.7058,                 1.9017,                 1.5011,                0.65572,                0.29466,                0.35346,                0.15127,                 2.6036,                 3.0283,                 2.0819,              0.0019762,              0.0019762,              0.0019762
                     23,                 1.6804,                 1.9432,                 1.5152,                0.40101,                0.39727,                0.36608,                0.14774,                  2.557,                  2.919,                 2.0865,              0.0019738,              0.0019738,              0.0019738
                     24,                 1.6712,                 1.8477,                 1.4717,                0.41933,                0.16186,                0.18928,                0.06819,                 2.8426,                 3.1385,                  2.214,              0.0019714,              0.0019714,              0.0019714
                     25,                 1.6438,                 1.7808,                 1.4736,                0.24407,                0.22775,                 0.2262,                0.07137,                 2.6698,                 3.0516,                 2.1258,              0.0019689,              0.0019689,              0.0019689
                     26,                 1.6176,                 1.7361,                 1.4495,                0.33559,                0.33565,                0.27339,                0.09769,                 2.7314,                 2.8208,                  2.257,              0.0019663,              0.0019663,              0.0019663
                     27,                  1.591,                 1.7166,                   1.46,                0.36921,                0.28058,                0.32174,                0.08393,                 2.7437,                  2.941,                 2.2138,              0.0019635,              0.0019635,              0.0019635
                     28,                 1.6229,                 1.7173,                  1.445,                0.16005,                0.20769,                0.16433,                0.04598,                 2.6829,                 3.2342,                 2.1218,              0.0019607,              0.0019607,              0.0019607
                     29,                 1.5995,                 1.6343,                  1.417,                0.28065,                0.37799,                0.24113,                  0.086,                 2.6679,                 3.0271,                 2.0957,              0.0019577,              0.0019577,              0.0019577
                     30,                 1.5941,                 1.6609,                 1.4214,                0.54908,                0.23737,                0.30693,                0.08448,                   2.74,                 2.9946,                 2.2522,              0.0019547,              0.0019547,              0.0019547
                     31,                 1.5674,                 1.6092,                 1.4025,                0.33854,                0.34413,                0.33888,                0.11724,                 2.5979,                 2.8957,                 2.1898,              0.0019515,              0.0019515,              0.0019515
                     32,                 1.5529,                 1.5376,                 1.4273,                0.25536,                0.38913,                0.26312,                0.10412,                 2.6333,                 2.9286,                 2.1418,              0.0019483,              0.0019483,              0.0019483
                     33,                 1.5429,                  1.559,                 1.4194,                0.38729,                0.27371,                0.29356,                0.08325,                 2.7687,                  3.263,                 2.3175,              0.0019449,              0.0019449,              0.0019449
                     34,                 1.5469,                 1.5365,                 1.3715,                0.25132,                0.35196,                0.32834,                0.12445,                 2.6525,                 3.1051,                 2.1523,              0.0019415,              0.0019415,              0.0019415
                     35,                 1.5378,                 1.5187,                 1.4043,                0.17266,                0.35724,                0.20678,                0.07107,                  2.718,                 2.8982,                 2.1842,              0.0019379,              0.0019379,              0.0019379
                     36,                 1.5076,                 1.4699,                  1.387,                0.35912,                0.36748,                0.36025,                 0.1578,                 2.6282,                 2.9851,                 2.1536,              0.0019342,              0.0019342,              0.0019342
                     37,                 1.5252,                 1.4717,                 1.3738,                0.22649,                0.33693,                0.23376,                0.10083,                 2.6572,                  3.153,                 2.1101,              0.0019305,              0.0019305,              0.0019305
                     38,                 1.5153,                 1.4765,                 1.4001,                0.34518,                0.27104,                0.30832,                0.13291,                 2.6443,                 3.2152,                 2.0937,              0.0019266,              0.0019266,              0.0019266
                     39,                 1.5013,                 1.4457,                 1.3633,                0.20599,                0.33159,                0.19252,                 0.0755,                 2.6472,                 3.2281,                 2.0513,              0.0019226,              0.0019226,              0.0019226
                     40,                 1.5196,                 1.4494,                  1.356,                0.38344,                0.35233,                 0.3459,                0.09551,                 2.7563,                 3.0979,                 2.1547,              0.0019186,              0.0019186,              0.0019186
                     41,                 1.4811,                 1.3671,                 1.3513,                 0.2169,                0.15439,                0.19814,                0.07276,                 2.7553,                 3.5012,                 2.2117,              0.0019144,              0.0019144,              0.0019144
                     42,                   1.46,                 1.3715,                 1.3313,                0.41908,                0.29396,                0.30526,                0.11285,                 2.8365,                 3.2967,                  2.287,              0.0019101,              0.0019101,              0.0019101
                     43,                 1.4542,                 1.3432,                 1.3439,                0.27955,                0.39779,                0.21005,                0.06161,                 2.7209,                 3.3989,                 2.1518,              0.0019058,              0.0019058,              0.0019058
